min_genes,max_genes,min_counts,max_counts,max_pct_mt,target_sum,n_top_genes,do_scale,max_value,n_pcs,svd_solver,n_neighbors,metric,resolution,random_seed,marker_coherence,cluster_stability,silhouette,cluster_balance,objective
1,100000,100,100000,1.0,1000,100,True,10.0,10,arpack,20,euclidean,0.1,42,0.0,0.46431542656481234,0.3982800096273422,0.6699726363686305,0.2859478935317752
1,100000,10,100000,20.0,1000,2000,True,10.0,10,arpack,20,cosine,0.8,42,0.15909090909090906,0.7510603593917168,0.63698410987854,0.9053430493951269,0.5068855983690994
1,100000,10,100000,20.0,1000,2000,True,10.0,30,arpack,30,euclidean,0.8,42,0.13888888888888887,0.8602119874850773,0.630774512887001,0.9204319070053435,0.5318172450790133
1,100000,10,100000,20.0,1000,3000,True,10.0,50,arpack,30,euclidean,1.2,42,0.14516129032258066,0.7964922798119884,0.6001261249184608,0.9166283092373695,0.508700255980058
1,100000,10,100000,20.0,1000,2000,True,10.0,30,arpack,50,euclidean,0.6,42,0.15873015873015872,0.872151964647602,0.6241210922598839,0.9175229697726094,0.5417141683155818
1,100000,10,100000,20.0,5000,5000,True,10.0,30,arpack,50,euclidean,0.6,42,0.13636363636363635,0.837461090699819,0.6326216459274292,0.9318823793154936,0.5254963488724355
1,100000,10,100000,20.0,1000,2000,True,10.0,60,randomized,50,euclidean,0.6,42,0.19298245614035087,0.8732456812164968,0.5745726972818375,0.9420890577613976,0.5482901320535967
1,100000,10,100000,20.0,1000,4000,True,10.0,60,randomized,50,euclidean,1.0,42,0.15151515151515152,0.936117930653713,0.5958318710327148,0.9163554058745266,0.5522433545961701
200,100000,500,100000,20.0,1000,4000,True,10.0,60,randomized,50,euclidean,1.0,42,0.13888888888888887,0.9152410090424586,0.6062008291482925,0.907471845861969,0.5421152086841485
1,100000,10,100000,20.0,1000,4000,True,10.0,60,randomized,60,euclidean,1.5,42,0.16071428571428573,0.8765887342410611,0.5945923998951912,0.9211478283600527,0.5382955973730761
1,100000,10,100000,20.0,1000,4000,True,10.0,60,randomized,50,cosine,1.0,42,0.14880952380952378,0.8957458879700227,0.5926699563860893,0.9196651456299318,0.5387480817550274
1,100000,10,50000,20.0,1000,3000,True,10.0,50,randomized,50,euclidean,1.0,42,0.16666666666666663,0.8805412620864296,0.5969396904110909,0.9098108309343022,0.5411980664682439
1,100000,10,100000,20.0,1000,5000,True,10.0,60,randomized,50,euclidean,0.8,42,0.1746031746031746,0.8695476515572627,0.6060283929109573,0.9229253655994154,0.5442037804505816
1,100000,10,100000,20.0,1000,4000,True,10.0,60,randomized,40,euclidean,2.0,42,0.14215686274509803,0.8208381980931677,0.6005096435546875,0.9328938705075019,0.5165055202876773
1,100000,10,100000,20.0,1000,4000,True,10.0,60,randomized,50,euclidean,0.7,7,0.18333333333333332,0.8635204217463149,0.597329206764698,0.9265466095642392,0.5445099621665913
1,100000,10,100000,20.0,10000,4000,True,10.0,60,randomized,50,euclidean,1.0,42,0.17361111111111108,0.852958983159931,0.578069418668747,0.9187685820999926,0.5328228813361724
